title,views,link,upload_date,likes,dislikes
Nikos Vertis & Amir - Si on n'aime qu'une fois / Η Λέξη Σ’ Αγαπώ (Official 4k Videoclip),"19,360,080",https://www.youtube.com/watch?v=KtdOEUENVgk&list=RDCLAK5uy_mxSS3z_xZOQkG2xnwmE30FQpqyolvvGS4&start_radio=1,"Mar 20, 2020","199,790","5,086"
Χρυσή Τηλεόραση | Καλό Μεσημεράκι | 05/10/2020,"2,610",https://www.youtube.com/watch?v=hTUP4qJZkd8,"Oct 5, 2020",277,14
10 TOP Natural History Moments | BBC Earth,"12,488,857",https://www.youtube.com/watch?v=FeJKJ5MoCHY,"Apr 22, 2020","135,153","3,512"
"Game Theory: Among Us, This ELITE 500 IQ Impostor Strategy Will NEVER Lose!","2,774,062",https://www.youtube.com/watch?v=OVms-94BZIE,"Oct 3, 2020","179,800","3,362"
Ηλίας Μακρίδης ft. Χρήστος Μάστορας - Πιάσε Απ' Το Χέρι Τη Ζωή (Ψυχής Κλωστή),"167,838",https://www.youtube.com/watch?v=CrDe_r2V0qc,"Sep 20, 2020","4,733",64
"Relaxing Sleep Music: Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music ★68","215,331,793",https://www.youtube.com/watch?v=1ZYbU82GVz4,"Jul 3, 2016","1,366,801","111,069"
Το Σόι Σου Σ2 | Επεισόδιο 2,"2,352,929",https://www.youtube.com/watch?v=HYlpCgZBOHs,"Oct 15, 2015","16,999",850
"Kygo, Avicii, Martin Garrix, The Chainsmokers, Dua Lipa Styles - Tell Me U Luv Me#3","149,890",https://www.youtube.com/watch?v=6uXLsQZT33s,"Jun 23, 2020",599,31
Στέλιος Ρόκκος - Σ' Αγαπώ - Official Lyric Video,"392,136",https://www.youtube.com/watch?v=Jwtcoy3wNvA&list=RDCLAK5uy_mgs9PgzUX1BjY0lgSMrqVD9qE281ezNwM&start_radio=1,"Mar 23, 2020","5,252",106
Mozart - Classical Music for Brain Power,"13,232,759",https://www.youtube.com/watch?v=iUohO2MSot8,"Dec 31, 2018","93,841","4,538"
"Study Music Alpha Waves: Relaxing Studying Music, Brain Power, Focus Concentration Music, ☯161","145,065,639",https://www.youtube.com/watch?v=WPni755-Krg,"Jun 26, 2014","735,555","41,124"
